a,e,i,c,Class
39.2948256,0.11141151,5.71831586,42.79708791284397,b'Resonant 3:2'
61.56220361,0.42303172,28.5944797,13.424945045905082,b'Detached'
39.47184673,0.07225502,9.31770301,31.23723424242079,b'Resonant 3:2'
39.46206166,0.15045973,13.80232047,27.046458562281472,b'Resonant 3:2'
39.39504986,0.20470483,16.20132688,43.225236216626065,b'Resonant 3:2'
100.12233275,0.63020324,20.21239314,10.102710929310442,b'Detached'
39.57784617,0.21391598,13.62636514,18.340437155471058,b'Resonant 3:2'
39.37633814,0.28488785,11.18923881,5.49497132168095,b'Resonant 3:2'
100.55095281,0.65950339,13.88672355,9.342612801908661,b'Scattering'
40.50999537,0.05977427,16.64561412,8.71544610154804,b'Classical'
39.41061966,0.1542686,10.61008139,5.9472992322162535,b'Resonant 3:2'
52.43307911,0.28154585,28.12423348,5.861832734833274,b'Detached'
46.25566802,0.12106991,9.32806545,8.689722567059894,b'Classical'
39.49530726,0.22608505,9.18536748,19.89120711266857,b'Resonant 3:2'
55.41768672,0.4489656,15.06811834,1.331099389388852,b'Resonant 5:2'
89.57187892,0.59936426,14.47424996,25.79025757686631,b'Detached'
40.59820137,0.09714152,22.90295989,45.04111331096804,b'Classical'
42.74257305,0.17628796,28.92076653,8.321234692542683,b'Classical'
46.61639449,0.24877718,20.73004056,7.023343080222379,b'Detached'
44.36536012,0.09539417,11.24806664,13.490830592298334,b'Classical'
61.96246773,0.43966816,29.48897974,13.598238407952213,b'Detached'
141.06340563,0.76133625,13.04855134,11.381361306407852,b'Scattering'
55.40643757,0.34429898,23.67751078,20.74711214633362,b'Resonant 5:2'
43.12596332,0.18259415,27.41266723,-2.4325671611233646,b'Classical'
66.32788095,0.44773659,7.29145449,34.88446078694199,b'Detached'
69.08486965,0.50066124,18.98994016,31.901412983869744,b'Resonant 7:2'
41.26770107,0.04169891,26.35078029,7.818962936820613,b'Resonant 26:17'
45.90207661,0.20698466,30.50668068,4.954386058629919,b'Classical'
42.26807717,0.15551149,18.52754497,34.55614739773573,b'Resonant 5:3'
53.69010873,0.36471419,30.45503527,0.986841346756169,b'Detached'
47.60629345,0.15643562,15.64723537,8.583694116940633,b'Resonant 2:1'
37.99238023,0.07180258,31.45762722,14.588812547906791,b'Classical'
36.91462801,0.13401109,13.16583753,22.273882486391347,b'Scattering'
37.95763078,0.04783543,26.70875593,29.408478717619534,b'Classical'
46.10672745,0.18666281,39.98735807,4.965263494520965,b'Classical'
48.72697492,0.2605699,26.28062247,18.356999196174446,b'Detached'
44.92144045,0.15395284,16.94235756,4.802508728712177,b'Classical'
43.50212996,0.15195365,5.17216154,59.28165021329379,b'Classical'
46.1634034,0.28224125,20.69128858,24.53141302115974,b'Detached'
30.10156916,0.10538241,18.83131852,-0.6167180162889643,b'Resonant 1:1'
76.57007522,0.52385585,24.30782041,8.256180924540002,b'Detached'
65.13444035,0.48263656,25.70300445,13.141483391272308,b'Detached'
67.90998149,0.37236608,42.22740275,9.052545357058676,b'Detached'
93.87064835,0.57474604,28.28158604,5.321318746856593,b'Resonant 11:2'
47.00611637,0.08340891,37.88510655,-5.036448777582918,b'Classical'
69.45972496,0.52689412,13.50331553,13.253935186338303,b'Resonant 7:2'
128.05248829,0.68487772,24.93766274,43.571499400506916,b'Detached'
57.12785846,0.47386398,44.67437564,18.101076341302612,b'Detached'
39.50477588,0.22348349,28.73183632,8.902401989275413,b'Resonant 3:2'
40.59286823,0.05729987,22.30411765,3.7452925982246343,b'Classical'
41.25774172,0.10562428,19.34131873,16.627938779527582,b'Classical'
43.52817808,0.26355743,21.2898153,11.902633232234978,b'Resonant 7:4'
40.89342757,0.05177366,42.12681224,16.49872572497479,b'Classical'
43.72466558,0.2423836,26.03113748,18.893087358908588,b'Resonant 7:4'
79.57283753,0.54487425,23.38909471,8.6988482078764,b'Detached'
43.26730764,0.15148329,31.50330486,4.344635494369889,b'Classical'
41.90009995,0.17277983,26.37213588,18.84263351560621,b'Classical'
133.28177905,0.74696541,28.50449849,9.890795536848758,b'Detached'
205.24138927,0.87343925,26.12520563,8.920714169204036,b'Scattering'
49.16162925,0.23962058,19.91318135,9.857385455993654,b'Classical'
45.59703344,0.14409009,6.46247879,32.05905067181955,b'Classical'
41.9750154,0.1345474,26.03547593,5.421948222603461,b'Classical'
42.82378948,0.1711637,22.71120849,30.614573652248456,b'Classical'
45.64563625,0.15464067,27.12998718,13.218877286500632,b'Classical'
39.37182111,0.23925666,23.73699016,9.594247808693526,b'Resonant 3:2'
41.33821799,0.13351475,27.71408821,2.59150892597245,b'Classical'
38.26849067,0.12274723,27.60557869,8.368307368506164,b'Classical'
46.87009881,0.18885824,26.47784085,13.891362311759195,b'Classical'
388.2240847,0.94321566,26.38189891,8.348580626459203,b'Scattering'
46.77652634,0.20780752,30.27737708,8.505851320828146,b'Classical'
123.52182449,0.69346233,28.85548244,7.098976379811293,b'Resonant 25:3'
67.05575831,0.35352479,32.47191696,12.575987136549172,b'Resonant 10:3'
43.00749629,0.17919428,19.13530204,2.21744854893701,b'Classical'
39.3205512,0.28760515,24.36078079,2.0670464596562943,b'Resonant 3:2'
30.03913591,0.05118056,29.5370185,11.957418229926658,b'Resonant 1:1'
42.01084828,0.12177665,28.89141856,-1.8613465093094437,b'Classical'
71.06873319,0.50622452,24.80475561,10.025332087137826,b'Detached'
38.6157879,0.01309997,31.16936289,7.850543793420331,b'Classical'
38.25386741,0.07959309,35.44132147,10.398918760420353,b'Classical'
47.20836526,0.21847486,25.23073056,17.86647344274595,b'Classical'
46.93777157,0.24201466,30.79475134,21.895512236574977,b'Detached'
39.49519864,0.21957199,30.21260906,15.518695081450765,b'Resonant 3:2'
119.93239145,0.672675,28.49656648,-4.200253286026174,b'Resonant 8:1'
39.27725775,0.20185092,23.28844989,10.410104451109865,b'Resonant 3:2'
45.26460045,0.17175254,26.58892024,30.026573389281086,b'Classical'
42.72096297,0.18547865,28.1625023,6.818865016837042,b'Classical'
43.84758611,0.12156554,35.78235164,8.638055796750328,b'Classical'
48.17032673,0.24842764,20.58148695,23.0951657779636,b'Detached'
44.19822896,0.17265856,40.7529987,-3.0963988720740345,b'Classical'
39.42822987,0.10518723,21.84385412,-2.973661149632086,b'Resonant 3:2'
30.0830523,0.09914303,33.72890731,3.2350318150364004,b'Resonant 1:1'
39.38954313,0.24368111,26.69290038,6.805361920222788,b'Resonant 3:2'
110.52366453,0.66476894,26.38652338,31.250408210678437,b'Detached'
36.41240283,0.19732006,22.92233579,10.992986876437726,b'Resonant 4:3'
74.84729814,0.40462493,41.49108568,17.10415946526444,b'Detached'
41.35460191,0.14783985,29.03866435,12.857115440035729,b'Classical'
78.25519059,0.5017817,31.61244788,18.206661837127033,b'Resonant 21:5'
67.60848991,0.44400348,27.74563226,-4.042771920759032,b'Detached'
39.14013066,0.23191211,23.54340397,10.081156410898732,b'Classical'
62.51287699,0.41445776,26.16250629,9.67468763467905,b'Resonant 3:1'
43.60735406,0.14413456,35.38908798,5.107161135848436,b'Resonant 7:4'
41.72197475,0.07171201,25.97985265,12.202195364832695,b'Classical'
41.91824087,0.12210522,23.22833371,18.41494064247442,b'Classical'
45.54816435,0.16232553,25.41872246,11.901033101255694,b'Classical'
42.824559,0.18892049,32.05830626,5.957414126774057,b'Classical'
44.8503971,0.19120772,27.13170646,1.6901002179253146,b'Classical'
103.64756732,0.63834957,32.47175909,19.421995665040154,b'Detached'
129.56130325,0.69816479,31.19709833,28.06106108825871,b'Detached'
75.80082381,0.54352804,24.04236006,35.91371317395717,b'Resonant 4:1'
41.73627667,0.09613596,23.14696035,52.658497717289265,b'Classical'
41.82035303,0.12747128,25.98647637,5.305825227173229,b'Classical'
62.40595888,0.31526793,31.22804792,17.03163914985712,b'Detached'
39.49480885,0.32305383,24.45552249,5.2614447755174405,b'Resonant 3:2'
43.08458516,0.10824233,29.8170199,5.975754809147453,b'Resonant 12:7'
46.06160305,0.15849993,29.90931916,31.29734677469605,b'Classical'
